dia,n,media_movel_7d,incompleto
2024-09-18,183.0,209.85714285714286,False
2024-09-19,195.0,209.14285714285714,False
2024-09-20,235.0,208.14285714285714,False
2024-09-21,225.0,208.0,False
2024-09-22,252.0,210.42857142857142,False
2024-09-23,188.0,207.85714285714286,False
2024-09-24,178.0,207.85714285714286,False
2024-09-25,200.0,208.85714285714286,False
2024-09-26,177.0,202.85714285714286,False
2024-09-27,235.0,207.14285714285714,False
2024-09-28,232.0,207.42857142857142,False
2024-09-29,210.0,208.57142857142858,False
2024-09-30,218.0,209.42857142857142,False
2024-10-01,180.0,208.28571428571428,False
2024-10-02,208.0,209.71428571428572,False
2024-10-03,183.0,216.0,False
2024-10-04,227.0,211.71428571428572,False
2024-10-05,242.0,213.71428571428572,False
2024-10-06,254.0,209.57142857142858,False
2024-10-07,188.0,215.85714285714286,False
2024-10-08,194.0,220.71428571428572,False
2024-10-09,179.0,218.85714285714286,False
2024-10-10,227.0,216.57142857142858,False
2024-10-11,261.0,216.71428571428572,False
2024-10-12,229.0,216.0,False
2024-10-13,238.0,215.28571428571428,False
2024-10-14,189.0,212.14285714285714,False
2024-10-15,189.0,204.0,False
2024-10-16,174.0,204.28571428571428,False
2024-10-17,205.0,210.57142857142858,False
2024-10-18,204.0,208.28571428571428,False
2024-10-19,231.0,207.57142857142858,False
2024-10-20,282.0,208.85714285714286,False
2024-10-21,173.0,207.42857142857142,False
2024-10-22,184.0,210.14285714285714,False
2024-10-23,183.0,208.57142857142858,False
2024-10-24,195.0,197.0,False
2024-10-25,223.0,201.0,False
2024-10-26,220.0,200.28571428571428,False
2024-10-27,201.0,198.71428571428572,False
2024-10-28,201.0,198.14285714285714,False
2024-10-29,179.0,193.85714285714286,False
2024-10-30,172.0,196.71428571428572,False
2024-10-31,191.0,201.14285714285714,False
2024-11-01,193.0,202.14285714285714,False
2024-11-02,240.0,200.14285714285714,False
2024-11-03,232.0,201.14285714285714,False
2024-11-04,208.0,200.71428571428572,False
2024-11-05,165.0,209.57142857142858,False
2024-11-06,179.0,205.14285714285714,False
2024-11-07,188.0,207.57142857142858,False
2024-11-08,255.0,204.0,False
2024-11-09,209.0,208.42857142857142,False
2024-11-10,249.0,210.57142857142858,False
2024-11-11,183.0,216.57142857142858,False
2024-11-12,196.0,215.71428571428572,False
2024-11-13,194.0,217.57142857142858,False
2024-11-14,230.0,212.85714285714286,False
