dia,n,media_movel_7d
2024-01-29,154,174.14285714285714
2024-01-30,174,174.28571428571428
2024-01-31,143,172.85714285714286
2024-02-01,164,173.57142857142858
2024-02-02,183,173.85714285714286
2024-02-03,177,172.85714285714286
2024-02-04,214,172.71428571428572
2024-02-05,190,177.85714285714286
2024-02-06,170,177.28571428571428
2024-02-07,188,183.71428571428572
2024-02-08,172,184.85714285714286
2024-02-09,230,191.57142857142858
2024-02-10,252,202.28571428571428
2024-02-11,230,204.57142857142858
2024-02-12,179,203.0
2024-02-13,164,202.14285714285714
2024-02-14,188,202.14285714285714
2024-02-15,162,200.71428571428572
2024-02-16,162,191.0
2024-02-17,180,180.71428571428572
2024-02-18,162,171.0
2024-02-19,153,167.28571428571428
2024-02-20,147,164.85714285714286
2024-02-21,168,162.0
2024-02-22,155,161.0
2024-02-23,198,166.14285714285714
2024-02-24,207,170.0
2024-02-25,197,175.0
2024-02-26,206,182.57142857142858
2024-02-27,168,185.57142857142858
2024-02-28,154,183.57142857142858
2024-02-29,160,184.28571428571428
2024-03-01,207,185.57142857142858
2024-03-02,216,186.85714285714286
2024-03-03,198,187.0
2024-03-04,191,184.85714285714286
2024-03-05,167,184.71428571428572
2024-03-06,175,187.71428571428572
2024-03-07,167,188.71428571428572
2024-03-08,222,190.85714285714286
2024-03-09,203,189.0
2024-03-10,196,188.71428571428572
2024-03-11,183,187.57142857142858
2024-03-12,171,188.14285714285714
2024-03-13,177,188.42857142857142
2024-03-14,178,190.0
2024-03-15,208,188.0
2024-03-16,192,186.42857142857142
2024-03-17,224,190.42857142857142
2024-03-18,190,191.42857142857142
2024-03-19,161,190.0
2024-03-20,188,191.57142857142858
2024-03-21,177,191.42857142857142
2024-03-22,195,189.57142857142858
2024-03-23,206,191.57142857142858
2024-03-24,200,188.14285714285714
2024-03-25,164,184.42857142857142
2024-03-26,165,185.0
2024-03-27,216,189.0
2024-03-28,223,195.57142857142858
2024-03-29,183,193.85714285714286
2024-03-30,190,191.57142857142858
2024-03-31,224,195.0
2024-04-01,182,197.57142857142858
2024-04-02,176,199.14285714285714
2024-04-03,164,191.71428571428572
2024-04-04,149,181.14285714285714
2024-04-05,186,181.57142857142858
2024-04-06,252,190.42857142857142
2024-04-07,213,188.85714285714286
2024-04-08,222,194.57142857142858
2024-04-09,173,194.14285714285714
2024-04-10,184,197.0
2024-04-11,156,198.0
2024-04-12,236,205.14285714285714
2024-04-13,184,195.42857142857142
2024-04-14,211,195.14285714285714
2024-04-15,194,191.14285714285714
2024-04-16,160,189.28571428571428
2024-04-17,172,187.57142857142858
2024-04-18,194,193.0
2024-04-19,238,193.28571428571428
2024-04-20,227,199.42857142857142
2024-04-21,218,200.42857142857142
2024-04-22,186,199.28571428571428
2024-04-23,149,197.71428571428572
2024-04-24,173,197.85714285714286
2024-04-25,176,195.28571428571428
2024-04-26,228,193.85714285714286
2024-04-27,201,190.14285714285714
2024-04-28,249,194.57142857142858
2024-04-29,196,196.0
2024-04-30,186,201.28571428571428
2024-05-01,168,200.57142857142858
2024-05-02,170,199.71428571428572
2024-05-03,200,195.71428571428572
2024-05-04,215,197.71428571428572
2024-05-05,204,191.28571428571428
2024-05-06,158,185.85714285714286
2024-05-07,179,184.85714285714286
2024-05-08,208,190.57142857142858
2024-05-09,194,194.0
2024-05-10,225,197.57142857142858
2024-05-11,241,201.28571428571428
2024-05-12,231,205.14285714285714
